,text,threat
0,good sir whi you sir obvious comprehend import scope kind generous wikipedia take time understand effect articl issu world hunger hear singapor lot of delet articl are effect fellatio proverbi peni evil fuck delet goddamn articl dream lone articl seem be behind blue eye see suppos good intent black soul true self love articl vengeanc free crush soul destroy evid pathet presenc earth hope contract foreign diseas peni fall off even one forc child indentur servitud lowli descend curs abnorm navel hair growth forev angri bloodthirsti armi wait besieg hous burn everyth ever own physic engulf black hole pervert heart also delet slander work bring singapor speedi fieri delet face earth rest complet vengeanc bought upon you stairway heaven crash upon call moral god satan alik frown upon throne fuck stand for good fellow cunt hope enjoy rest etern fieri pit hello hope speedi death swarm like locust slowli devour fabric be,1
1,fuck smalljim tattl tail piec shit,1
2,go fuck busi fuck know tor is asshole.,1
3,last warn again give fuck mar dumbass. serious peopl edit wiki page fuck whore saw att top page say present polit look chang correct well mayb would actual research delet instead willy-nilli delet everyth see fuck hope get rape serious fuck death way much get paid sit around dick fuck as un-edit peopl shit must aloft high paycheck make serious cock go get rape refer know bastard,1
4,"know real difficulti littl prick learn take protect away cannot keep protect time never give page look like want warn you clayworth, ruin health distanc also easili kill energi stroke play fire stupid as",1
5,fuck you cunt a contact whomev fuck want,1
6,fuck you fuck stole cloud ever fuck find fuuuuuuuuuuck fuck you,1
7,flap herd still fuck wanker true up guess who of,1
8,idea go fuck yourself cumshitter.,1
9,go shoot head laugh brain splatter onto ground go shoot head laugh brain splatter onto ground,1
10,death child ban delet slander ladi,1
11,wrote shit age ago flake faggot,1
12,go shoot head laugh brain splatter onto ground go shoot head laugh brain splatter onto ground,1
13,"bitch trick fat as full dogshit, commi love lie bastard chink",1
14,person attack number anoth person attack massiv donkey dick suck homosexu concern plea drown sewer fuck fuck fag threaten legal action again fuck come there tie comput chair stick cock ars bleed fucker,1
15,fuck off of of of of of of of of,1
16,need talk... suck dick privat bull shit bet could suck golf ball garden hose serious though need talk edit habit drop talk page talk,1
17,not fuck moron fuck stop imbecil,1
18,motherfuck homo tri get life delet perfect good articl good reason insult maker account fault everyon attack you good-for-noth fuck fuck filter tri stop me cannot protect truth go keep happen me peopl fuck over friend stop salt hair freak look like goddamn hobo,1
